Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"pfizer
4.0","groton, ct",clinical data scientist,Data Scientist,0.0,0.0,0.0,1.0,1.0,174720.0
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist,0.0,0.0,0.0,0.0,0.0,65520.0
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist,0.0,0.0,0.0,0.0,0.0,65520.0
"vail health
3.7","vail, co",clinical laboratory scientist,Data Scientist,0.0,0.0,0.0,0.0,0.0,65520.0
vida health inc,"knoxville, tn",clinical operations data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
tennessee hospital association,"nashville, tn",clinical quality data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
uc san diego,"la jolla, ca",clinical registry and data analyst - hemophilia - 117935,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"forma therapeutics
3.8","watertown, ma","clinical scientist, clinical development",Data Scientist,0.0,0.0,0.0,0.0,1.0,76960.0
"caterpillar
3.7","peoria, il",college hire - data scientist - open to december 2019 graduates,Data Scientist,0.0,0.0,0.0,0.0,0.0,168480.0
"caterpillar
3.7","peoria, il",college hire - data scientist - open to december 2019 graduates,Data Scientist,0.0,0.0,0.0,0.0,0.0,168480.0
impiricus,"atlanta, ga",commercial data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"pnnl
3.8","richland, wa",computational chemist/data scientist,Data Scientist,1.0,0.0,0.0,0.0,0.0,159120.0
"pnnl
3.8","richland, wa",computational chemist/data scientist,Data Scientist,1.0,0.0,0.0,0.0,0.0,159120.0
"infosys
3.0","hartford, ct",consultant - analytics consulting,Data Scientist,0.0,0.0,0.0,0.0,1.0,130000.0
"infosys
3.0","hartford, ct",consultant - analytics consulting,Data Scientist,0.0,0.0,0.0,0.0,1.0,130000.0
"infosys
3.0","hartford, ct",consultant - analytics consulting,Data Scientist,0.0,0.0,0.0,0.0,1.0,130000.0
"opinion dynamics
4.2","san diego, ca",consultant– data analytics group,Data Scientist,1.0,0.0,0.0,0.0,0.0,109200.0
hca healthcare,"franklin, tn",consulting clinical data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"associated banc-corp
3.8","green bay, wi",corporate risk data analyst (sql based) - milwaukee or,Data Analyst,0.0,0.0,0.0,1.0,1.0,124800.0
"associated banc-corp
3.8","green bay, wi",corporate risk data analyst (sql based) - milwaukee or,Data Analyst,0.0,0.0,0.0,1.0,1.0,124800.0
"h2o.ai
4.3","mountain view, ca",customer data scientist,Data Scientist,1.0,0.0,1.0,1.0,1.0,319280.0
"h2o.ai
4.3","mountain view, ca",customer data scientist,Data Scientist,1.0,0.0,1.0,1.0,1.0,319280.0
"h2o.ai
4.3","chicago, il",customer data scientist/sales engineer,Data Scientist,1.0,0.0,1.0,1.0,1.0,286000.0
"h2o.ai
4.3","mountain view, ca",customer data scientist/sales engineer (bay,Data Scientist,1.0,0.0,1.0,1.0,1.0,313040.0
"systems evolution inc.
4.7","new york, ny",data & analytics consultant (nyc),Data Scientist,1.0,0.0,0.0,0.0,1.0,238160.0
843045256,"pomona, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
843045256,"pomona, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
ace technologies,"montgomery, al",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
advance medical designs inc.,"marietta, ga",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
age of learning,"glendale, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
age of learning,"glendale, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
"axion healthcare solutions
3.6","new york, ny",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,137280.0
"axion healthcare solutions
3.6","new york, ny",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,137280.0
axos bank,"san diego, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
axos bank,"san diego, ca",data analyst,Data Analyst,0.0,0.0,0.0,0.0,1.0,117500.0
