Job Title,Company Name,Location,avg_salary,python_yn,R_yn,spark,aws,excel,job_category
PL Actuarial-Lead Data Scientist,"The Hanover Insurance Group
3.7","Worcester, MA",146.5,1,0,0,0,1,Data Scientist
Principal Data Scientist (Computational Chemistry),"Recursion Pharmaceuticals
4.7","Salt Lake City, UT",140.5,1,0,0,1,0,Data Scientist
Data Engineer,"P2 Energy Solutions
3.7","Lafayette, LA",70.5,0,0,0,0,1,Data Engineer
Lead Data Engineer,"Credit Sesame
4.1","Mountain View, CA",205.0,1,0,1,1,0,Data Engineer
Marketing Data Analyst,"San Manuel Casino
3.6","Highland, CA",48.5,0,0,0,0,1,Data Analyst
Sr. Data Engineer - Contract-to-Hire (Java),"Pilot Flying J Travel Centers LLC
3.0","Knoxville, TN",98.0,1,0,0,0,0,Data Engineer
Sr. Data Engineer,"Echo Global Logistics
3.4","Chicago, IL",107.5,0,0,0,0,0,Data Engineer
Data Scientist - Quantitative,"Truckstop.com
3.8","Chicago, IL",112.5,1,0,0,1,1,Data Scientist
Data Scientist,"Lockheed Martin
3.7","Herndon, VA",89.0,1,0,1,0,1,Data Scientist
Senior Research Statistician- Data Scientist,"Acuity Insurance
4.8","Sheboygan, WI",100.5,0,0,0,0,0,Data Scientist
"Business Data Analyst, SQL","Fareportal
3.8","New York, NY",65.0,0,0,0,0,1,Data Analyst
Data Scientist,"Credera
4.3","Dallas, TX",72.5,1,0,1,1,1,Data Scientist
Senior Data Analyst,"KnowBe4
4.8","Clearwater, FL",61.0,1,0,0,0,1,Data Analyst
Data Engineer,"Cogo Labs
3.9","Cambridge, MA",84.5,1,0,1,0,0,Data Engineer
Data Scientist,"Spectrum Communications and Consulting
3.4","Chicago, IL",87.5,0,0,0,0,0,Data Scientist
Data Analyst,"NCSOFT
3.1","San Mateo, CA",92.5,1,1,0,0,1,Data Analyst
Associate Data Scientist/Computer Scientist,"MITRE
3.2","McLean, VA",81.5,1,0,1,0,0,Data Scientist
Lead Data Scientist,"MassMutual
3.6","Boston, MA",164.0,1,0,1,1,0,Data Scientist
"Sr. Data Scientist - Analytics, Personalized Healthcare (PHC)","Genentech
3.9","South San Francisco, CA",169.0,1,0,1,0,1,Data Scientist
Senior Data Scientist,"Juniper Networks
3.8","Cupertino, CA",142.0,1,0,1,1,1,Data Scientist
Data Analyst,"Community Action Partnership of San Luis Obispo
2.8","Parlier, CA",47.5,0,0,0,0,1,Data Analyst
Data Analyst,"TrueAccord
3.4","San Francisco, CA",69.0,1,0,0,0,1,Data Analyst
