Company Name,Location,Job Title,job_category,python_yn,R_yn,spark,aws,excel,avg_salary
"carmeuse
3.1","pittsburgh, pa",data scientist,Data Scientist,1,0,0,0,0,203840
"cbs interactive
3.5","new york, ny",data scientist,Data Scientist,1,0,1,0,0,266240
"change healthcare
2.7","emeryville, ca",data scientist,Data Scientist,1,0,1,1,0,318240
"charter spectrum
3.5","maryland heights, mo",data scientist,Data Scientist,0,0,0,0,1,199680
"citi
3.6","jersey city, nj",data scientist,Data Scientist,0,0,0,0,1,242320
"clearone advantage
4.1","baltimore, md",data scientist,Data Scientist,0,0,0,0,1,152880
"clearone advantage
4.1","baltimore, md",data scientist,Data Scientist,0,0,0,0,1,152880
"compqsoft
3.4","washington, dc",data scientist,Data Scientist,1,0,0,0,0,200720
"comscore
2.5","portland, or",data scientist,Data Scientist,1,0,1,0,0,200720
"conch technologies, inc
4.6","waltham, ma",data scientist,Data Scientist,1,0,1,1,0,195520
"credera
4.3","dallas, tx",data scientist,Data Scientist,1,0,1,1,1,150800
"crossix solutions
3.5","new york, ny",data scientist,Data Scientist,1,0,1,1,1,217360
"crossix solutions
3.5","new york, ny",data scientist,Data Scientist,1,0,1,1,1,217360
"cyrusone
3.4","dallas, tx",data scientist,Data Scientist,1,0,0,1,1,197600
"cyrusone
3.4","dallas, tx",data scientist,Data Scientist,1,0,0,1,1,197600
"datamanusa, llc
3.4","olympia, wa",data scientist,Data Scientist,0,0,0,0,0,185120
"demandbase
4.5","san francisco, ca",data scientist,Data Scientist,0,0,1,1,0,326560
"dick's sporting goods - corporate
3.8","coraopolis, pa",data scientist,Data Scientist,1,0,0,0,0,176800
"dick's sporting goods - corporate
3.8","coraopolis, pa",data scientist,Data Scientist,1,0,0,0,0,176800
"drfirst
2.8","rockville, md",data scientist,Data Scientist,1,0,0,0,0,223600
"e-it professionals corp.
3.5","foster city, ca",data scientist,Data Scientist,1,0,0,0,0,290160
"esri
3.5","redlands, ca",data scientist,Data Scientist,1,0,1,1,0,222560
"esri
3.5","redlands, ca",data scientist,Data Scientist,1,0,1,1,0,222560
"execonline
4.2","new york, ny",data scientist,Data Scientist,1,0,0,1,0,157040
"execonline
4.2","new york, ny",data scientist,Data Scientist,1,0,0,1,0,157040
"first command financial services, inc.
3.2","fort worth, tx",data scientist,Data Scientist,1,0,0,0,1,176800
"first tech federal credit union
3.5","hillsboro, or",data scientist,Data Scientist,1,0,1,1,1,206960
"first tech federal credit union
3.5","hillsboro, or",data scientist,Data Scientist,1,0,1,1,1,206960
"formation
3.2","san francisco, ca",data scientist,Data Scientist,0,0,1,0,1,275600
"genentech
3.9","south san francisco, ca",data scientist,Data Scientist,0,0,0,0,1,339040
"genworth
3.7","raleigh, nc",data scientist,Data Scientist,1,0,1,1,1,212160
